Brand,Name,Oz/pkg,Calories,Total fat g,Saturated fat g,Cholesterol g,Sodium mg,Carbohydrate g,Dietary fiber g,Sugars g,Protein g,Vitamin A %RDI,Vitamin C %RDI,Calcium %RDI,Iron %RDI
M&M/Mars,Snickers Peanut Butter,2,310,20,7,5,150,28,1,23,6,0,0,6,2
Hershey,Cookies 'n' Mint,1.55,230,12,6,10,80,27,1,21,4,0,0,8,4
Hershey,Cadbury Dairy Milk,5,220,12,8,10,45,24,1,21,3,0,0,10,2
M&M/Mars,Snickers,3.7,170,8,3,5,85,21,1,17,3,0,0,2,0
Charms,Sugar Daddy,1.7,200,2.5,2.5,2,100,43,0,28,1,0,0,4,0
M&M/Mars,Twix Peanut Butter,1.71,260,16,5,5,130,26,2,17,5,0,0,2,2
Hershey,Twizzler,2.2,190,1.5,0,0,150,42,0,24,2,0,0,0,2
Tobler,Toblerone,1.23,190,11,7,5,25,21,0,19,2,0,0,6,0
Nestle,Crunch,1.55,230,12,7,5,60,28,1,23,3,0,0,8,0
Hershey,Almond Joy,3.22,230,13,8,2,85,25,3,17,2,0,0,2,2
Sherwood,Elana Mint,1.6,200,10,6,15,10,29,2,26,2,0,0,2,7
Hershey,Krackel,2.6,390,21,13,10,110,45,1,35,5,0,0,10,2
M&M/Mars,M&Ms Peanut,1.74,250,13,5,5,25,30,2,25,5,0,0,4,2
Bit-O-Honey,Bit-O-Honey,1.7,200,4,2.5,0,105,41,0,20,1,0,0,2,2
Nestle,100 Grand,1.5,200,8,5,10,75,30,0,27,2,0,0,4,0
Hershey,Skor,1.4,220,13,9,20,110,23,0,21,2,0,0,4,0
Hershey,Twix Caramel,2,280,14,5,5,115,37,0,27,3,0,0,4,2
M&M/Mars,Milky Way Lite,1.57,160,5,3.5,0,100,33,0,23,2,0,0,4,0
M&M/Mars,Mars,1.76,240,13,4,5,70,31,1,26,3,0,0,6,2
Pearson,Peanut Nut Roll,2.5,340,16,3,0,210,40,2,29,9,0,0,4,2
Nestle,Raisinet,1.58,200,8,4,3,15,31,2,28,2,0,0,4,2
Sherwood,Elana Mocca,1.6,230,13,7,20,35,27,1,26,3,0,0,6,6
Hershey,Bar None,1.65,250,15,9,5,55,25,1,18,4,0,0,4,2
Brown & Haley,Almond Roca,1.6,270,19,11,20,160,25,0,23,2,6,0,2,2
Leaf,Payday,1.85,240,12,2,0,170,28,1,16,7,0,0,4,4
Just Born,Super Hot Tamales,2.12,220,0,0,0,25,55,0,34,0,0,0,0,0
Hershey,Rolo,1.91,260,12,8,10,95,35,0,30,2,0,0,6,0
Nestle,Butterfinger,2.1,280,11,6,0,120,41,1,40,4,0,0,0,2
Myerson,Big Cherry,1.75,230,10,5,0,36,31,1,1,4,1,1,2,7
Hershey,Mr. Goodbar,2.6,420,27,12,10,35,34,3,28,9,0,0,8,4
Hershey,Golden Collection,2.8,450,29,12,10,45,37,3,29,9,0,0,15,10
Annabelle,U-No (Green),1.5,250,17,11,4,45,22,1,20,3,0,0,5,5
Hershey,Reese's Peanut Butter Cup,1.6,240,14,6,2,150,24,1,19,5,0,0,2,2
M&M/Mars,Skittles,2.17,250,2.5,0.5,0,10,56,0,47,0,0,0,0,0
Hershey,Reese's Peanut Butter Cup Crunchy,1.6,250,16,6,3,75,21,2,16,6,0,0,4,2
Adams & Brooks,Cup O Gold,1.25,160,8,4.5,3,10,23,0,19,1,0,0,2,0
Nestle,Baby Ruth,2.1,280,12,7,0,135,38,2,25,4,0,0,2,0
Weider,Tiger Milk,1.25,160,6,1,0,90,20,0,16,6,15,10,15,15
M&M/Mars,Dove,6,230,13,8,10,30,25,1,24,3,2,0,6,0
Hershey,York Peppermint Patty,1.5,170,4,2.5,0,15,33,0,23,1,0,0,0,4
M&M/Mars,3 Musketeers,2.13,260,8,4,5,110,46,1,40,2,0,0,2,2
Annabelle,U-No (Blue),1.5,250,17,11,4,45,22,1,20,3,0,0,5,5
Tootsie,Jr Mints,1.6,190,4,2.5,0,10,38,0,37,0,0,0,0,4
