County_name,State,Region_num,Location,Square_miles,Population,Pop_Size_Group,Pct_Age18_to_34,Pct_65_or_over,Num_physicians,Num_hospital_beds,Num_serious_crimes,Pct_High_Sch_grads,Pct_Bachelors,Pct_below_poverty,Pct_unemployed,Per_cap_income,Total_personal_income
Los_Angeles,CA,4,West,4060,8863164,Large,32.1,9.7,23677,27700,688936,70,22.3,11.6,8,20786,184230
Cook,IL,2,East,946,5105067,Large,29.2,12.4,15153,21550,436936,73.4,22.8,11.1,7.2,21729,110928
Harris,TX,3,West,1729,2818199,Large,31.3,7.1,7553,12449,253526,74.9,25.4,12.5,5.7,19517,55003
San_Diego,CA,4,West,4205,2498016,Large,33.5,10.9,5905,6179,173821,81.9,25.3,8.1,6.1,19588,48931
Orange,CA,4,West,790,2410556,Large,32.6,9.2,6062,6369,144524,81.2,27.8,5.2,4.8,24400,58818
Kings,NY,1,East,71,2300664,Large,28.3,12.4,4861,8942,680966,63.7,16.6,19.5,9.5,16803,38658
Maricopa,AZ,4,West,9204,2122101,Large,29.2,12.5,4320,6104,177593,81.5,22.1,8.8,4.9,18042,38287
Wayne,MI,2,East,614,2111687,Large,27.4,12.5,3823,9490,193978,70,13.7,16.9,10,17461,36872
Dade,FL,3,East,1945,1937094,Large,27.1,13.9,6274,8840,244725,65,18.8,14.2,8.7,17823,34525
Dallas,TX,3,West,880,1852810,Large,32.6,8.2,4718,6934,214258,77.1,26.3,10.4,6.1,21001,38911
Philadelphia,PA,1,East,135,1585577,Large,29.1,15.2,6641,10494,109148,64.3,15.2,16.1,8,16721,26512
King,WA,4,West,2126,1507319,Large,30.1,11.1,5280,4009,124959,88.2,32.8,5,4.6,23779,35843
Santa_Clara,CA,4,West,1291,1497577,Large,32.6,8.7,4101,3342,77009,82,32.6,5,5.5,25193,37728
San_Bernardino,CA,4,West,20062,1418380,Large,30.1,8.8,2463,3349,83110,75.4,14.9,10.3,8,16399,23260
Cuyahoga,OH,2,East,458,1412140,Large,26.3,15.6,5620,8132,73150,74,20.1,11,5.5,21086,29776
